nohup: 忽略輸入
開始收集：object=002_master_chef_can  workers=10  log_dir=/home/rex/dexgrasp/logs  停止條件: duration=36000.0s attempts=None target_successes=2000
[   9.3 min] attempts=  3439  successes=    0 (  0.0%)   6.19 attempts/s
[   9.3 min] attempts=  3465  successes=    0 (  0.0%)   6.18 attempts/s
[   9.4 min] attempts=  3497  successes=    0 (  0.0%)   6.18 attempts/s
[   9.5 min] attempts=  3529  successes=    0 (  0.0%)   6.18 attempts/s
[   9.6 min] attempts=  3564  successes=    0 (  0.0%)   6.19 attempts/s
[   9.7 min] attempts=  3592  successes=    0 (  0.0%)   6.19 attempts/s
[   9.8 min] attempts=  3623  successes=    0 (  0.0%)   6.19 attempts/s
[   9.8 min] attempts=  3652  successes=    0 (  0.0%)   6.18 attempts/s
[   9.9 min] attempts=  3687  successes=    0 (  0.0%)   6.19 attempts/s
[  10.0 min] attempts=  3718  successes=    0 (  0.0%)   6.19 attempts/s
[  10.1 min] attempts=  3750  successes=    0 (  0.0%)   6.19 attempts/s
[  10.2 min] attempts=  3779  successes=    0 (  0.0%)   6.19 attempts/s
[  10.3 min] attempts=  3813  successes=    0 (  0.0%)   6.19 attempts/s
[  10.3 min] attempts=  3849  successes=    0 (  0.0%)   6.20 attempts/s
[  10.4 min] attempts=  3877  successes=    0 (  0.0%)   6.20 attempts/s
[  10.5 min] attempts=  3905  successes=    0 (  0.0%)   6.19 attempts/s
[  10.6 min] attempts=  3936  successes=    0 (  0.0%)   6.19 attempts/s
[  10.7 min] attempts=  3967  successes=    0 (  0.0%)   6.19 attempts/s
[  10.8 min] attempts=  3999  successes=    0 (  0.0%)   6.19 attempts/s
[  10.8 min] attempts=  4036  successes=    0 (  0.0%)   6.20 attempts/s
[  10.9 min] attempts=  4068  successes=    0 (  0.0%)   6.20 attempts/s
[  11.0 min] attempts=  4106  successes=    0 (  0.0%)   6.21 attempts/s
[  11.1 min] attempts=  4139  successes=    0 (  0.0%)   6.22 attempts/s
[  11.2 min] attempts=  4179  successes=    0 (  0.0%)   6.23 attempts/s
[  11.3 min] attempts=  4212  successes=    0 (  0.0%)   6.23 attempts/s
[  11.3 min] attempts=  4241  successes=    0 (  0.0%)   6.23 attempts/s
[  11.4 min] attempts=  4273  successes=    0 (  0.0%)   6.23 attempts/s
[  11.5 min] attempts=  4307  successes=    0 (  0.0%)   6.24 attempts/s
[  11.6 min] attempts=  4341  successes=    0 (  0.0%)   6.24 attempts/s
[  11.7 min] attempts=  4376  successes=    0 (  0.0%)   6.24 attempts/s
[  11.8 min] attempts=  4403  successes=    0 (  0.0%)   6.24 attempts/s
[  11.8 min] attempts=  4436  successes=    0 (  0.0%)   6.24 attempts/s
[  11.9 min] attempts=  4471  successes=    0 (  0.0%)   6.25 attempts/s
[  12.0 min] attempts=  4501  successes=    0 (  0.0%)   6.24 attempts/s
[  12.1 min] attempts=  4534  successes=    0 (  0.0%)   6.25 attempts/s
[  12.2 min] attempts=  4567  successes=    0 (  0.0%)   6.25 attempts/s
[  12.3 min] attempts=  4600  successes=    0 (  0.0%)   6.25 attempts/s
[  12.3 min] attempts=  4629  successes=    0 (  0.0%)   6.25 attempts/s
[  12.4 min] attempts=  4658  successes=    0 (  0.0%)   6.25 attempts/s
[  12.5 min] attempts=  4683  successes=    0 (  0.0%)   6.24 attempts/s
[  12.6 min] attempts=  4720  successes=    0 (  0.0%)   6.25 attempts/s
[  12.7 min] attempts=  4753  successes=    0 (  0.0%)   6.25 attempts/s
[  12.8 min] attempts=  4784  successes=    0 (  0.0%)   6.25 attempts/s
[  12.8 min] attempts=  4823  successes=    0 (  0.0%)   6.26 attempts/s
[  12.9 min] attempts=  4853  successes=    0 (  0.0%)   6.26 attempts/s
[  13.0 min] attempts=  4884  successes=    0 (  0.0%)   6.25 attempts/s
[  13.1 min] attempts=  4915  successes=    0 (  0.0%)   6.25 attempts/s
[  13.2 min] attempts=  4945  successes=    0 (  0.0%)   6.25 attempts/s
[  13.3 min] attempts=  4977  successes=    0 (  0.0%)   6.25 attempts/s
[  13.3 min] attempts=  5007  successes=    0 (  0.0%)   6.25 attempts/s
[  13.4 min] attempts=  5036  successes=    0 (  0.0%)   6.25 attempts/s
[  13.5 min] attempts=  5067  successes=    0 (  0.0%)   6.25 attempts/s
[  13.6 min] attempts=  5092  successes=    0 (  0.0%)   6.24 attempts/s
[  13.7 min] attempts=  5121  successes=    0 (  0.0%)   6.24 attempts/s
[  13.8 min] attempts=  5153  successes=    0 (  0.0%)   6.24 attempts/s
[  13.8 min] attempts=  5185  successes=    0 (  0.0%)   6.24 attempts/s
[  13.9 min] attempts=  5224  successes=    0 (  0.0%)   6.25 attempts/s
[  14.0 min] attempts=  5253  successes=    0 (  0.0%)   6.25 attempts/s
[  14.1 min] attempts=  5289  successes=    0 (  0.0%)   6.25 attempts/s
[  14.2 min] attempts=  5325  successes=    0 (  0.0%)   6.26 attempts/s
[  14.3 min] attempts=  5356  successes=    0 (  0.0%)   6.26 attempts/s
[  14.3 min] attempts=  5384  successes=    0 (  0.0%)   6.25 attempts/s
[  14.4 min] attempts=  5415  successes=    0 (  0.0%)   6.25 attempts/s
[  14.5 min] attempts=  5446  successes=    0 (  0.0%)   6.25 attempts/s
[  14.6 min] attempts=  5479  successes=    0 (  0.0%)   6.26 attempts/s
[  14.7 min] attempts=  5511  successes=    0 (  0.0%)   6.26 attempts/s
[  14.8 min] attempts=  5548  successes=    0 (  0.0%)   6.26 attempts/s
[  14.8 min] attempts=  5579  successes=    0 (  0.0%)   6.26 attempts/s
[  14.9 min] attempts=  5612  successes=    0 (  0.0%)   6.26 attempts/s
[  15.0 min] attempts=  5644  successes=    0 (  0.0%)   6.26 attempts/s
[  15.1 min] attempts=  5674  successes=    0 (  0.0%)   6.26 attempts/s
[  15.2 min] attempts=  5709  successes=    0 (  0.0%)   6.27 attempts/s
[  15.3 min] attempts=  5737  successes=    0 (  0.0%)   6.26 attempts/s
[  15.3 min] attempts=  5773  successes=    0 (  0.0%)   6.27 attempts/s
[  15.4 min] attempts=  5806  successes=    0 (  0.0%)   6.27 attempts/s
[  15.5 min] attempts=  5839  successes=    0 (  0.0%)   6.27 attempts/s
[  15.6 min] attempts=  5874  successes=    0 (  0.0%)   6.28 attempts/s
[  15.7 min] attempts=  5901  successes=    0 (  0.0%)   6.27 attempts/s
[  15.8 min] attempts=  5929  successes=    0 (  0.0%)   6.27 attempts/s
[  15.9 min] attempts=  5957  successes=    0 (  0.0%)   6.26 attempts/s
[  15.9 min] attempts=  5990  successes=    0 (  0.0%)   6.27 attempts/s
[  16.0 min] attempts=  6016  successes=    0 (  0.0%)   6.26 attempts/s
[  16.1 min] attempts=  6051  successes=    0 (  0.0%)   6.26 attempts/s
[  16.2 min] attempts=  6083  successes=    0 (  0.0%)   6.26 attempts/s
[  16.3 min] attempts=  6115  successes=    0 (  0.0%)   6.27 attempts/s
[  16.4 min] attempts=  6144  successes=    0 (  0.0%)   6.26 attempts/s
[  16.4 min] attempts=  6171  successes=    0 (  0.0%)   6.26 attempts/s
[  16.5 min] attempts=  6203  successes=    0 (  0.0%)   6.26 attempts/s
[  16.6 min] attempts=  6234  successes=    0 (  0.0%)   6.26 attempts/s
[  16.7 min] attempts=  6263  successes=    0 (  0.0%)   6.26 attempts/s
[  16.8 min] attempts=  6294  successes=    0 (  0.0%)   6.26 attempts/s
[  16.9 min] attempts=  6332  successes=    0 (  0.0%)   6.26 attempts/s
[  16.9 min] attempts=  6364  successes=    0 (  0.0%)   6.26 attempts/s
[  17.0 min] attempts=  6394  successes=    0 (  0.0%)   6.26 attempts/s
[  17.1 min] attempts=  6424  successes=    0 (  0.0%)   6.26 attempts/s
[  17.2 min] attempts=  6450  successes=    0 (  0.0%)   6.26 attempts/s
[  17.3 min] attempts=  6484  successes=    0 (  0.0%)   6.26 attempts/s
[  17.4 min] attempts=  6511  successes=    0 (  0.0%)   6.25 attempts/s
[  17.4 min] attempts=  6546  successes=    0 (  0.0%)   6.26 attempts/s
[  17.5 min] attempts=  6578  successes=    0 (  0.0%)   6.26 attempts/s
[  17.6 min] attempts=  6612  successes=    0 (  0.0%)   6.26 attempts/s
[  17.7 min] attempts=  6640  successes=    0 (  0.0%)   6.26 attempts/s
